Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
TXG,"10x Genomics, Inc.",97.51,$9.59B,2019,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/txg
YI,"111, Inc.",6.39,$526.28M,2018,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/yi
PIH,"1347 Property Insurance Holdings, Inc.",4.41,$26.76M,2014,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pih
PIHPP,"1347 Property Insurance Holdings, Inc.",24.89,n/a,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pihpp
TURN,180 Degree Capital Corp.,1.74,$54.15M,n/a,Finance,Finance/Investors Services,https://old.nasdaq.com/symbol/turn
FLWS,"1-800-FLOWERS.COM, Inc.",28.05,$1.8B,1999,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/flws
BCOW,"1895 Bancorp of Wisconsin, Inc.",9.3,$46.13M,2019,Finance,Banks,https://old.nasdaq.com/symbol/bcow
ONEM,"1Life Healthcare, Inc.",31.03,$3.91B,2020,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/onem
FCCY,1st Constitution Bancorp (NJ),12.01,$122.73M,n/a,Finance,Savings Institutions,https://old.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,34.02,$869.22M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/srce
VNET,"21Vianet Group, Inc.",22.01,$2.5B,2011,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/vnet
TWOU,"2U, Inc.",43.87,$2.81B,2014,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/twou
QFIN,"360 Finance, Inc.",13.57,$1.99B,2018,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/qfin
KRKR,36Kr Holdings Inc.,3.22,$120.73M,2019,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/krkr
JOBS,"51job, Inc.",68.18,$4.56B,2004,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/jobs
ETNB,"89bio, Inc.",29.09,$490.23M,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/etnb
JFK,8i Enterprises Acquisition Corp,10.5,$77.99M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/jfk
JFKKR,8i Enterprises Acquisition Corp,0.485,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/jfkkr
JFKKU,8i Enterprises Acquisition Corp,24.88,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/jfkku
JFKKW,8i Enterprises Acquisition Corp,0.4999,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/jfkkw
EGHT,8x8 Inc,17.1,$1.77B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/eght
NMTR,"9 Meters Biopharma, Inc.",0.4949,$67.42M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/nmtr
JFU,9F Inc.,1.97,$384.53M,2019,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/jfu
AAON,"AAON, Inc.",58.24,$3.03B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aaon
ABEO,Abeona Therapeutics Inc.,2.89,$241.89M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abeo
ABMD,"ABIOMED, Inc.",298.91,$13.46B,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/abmd
AXAS,Abraxas Petroleum Corporation,0.208,$34.96M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/axas
ACIU,AC Immune SA,7.01,$503.73M,2016,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aciu
ACIA,"Acacia Communications, Inc.",67.66,$2.83B,2016,Technology,Semiconductors,https://old.nasdaq.com/symbol/acia
ACTG,Acacia Research Corporation,4.04,$196.77M,n/a,Miscellaneous,Multi-Sector Companies,https://old.nasdaq.com/symbol/actg
ACHC,"Acadia Healthcare Company, Inc.",30.41,$2.7B,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/achc
ACAD,ACADIA Pharmaceuticals Inc.,42.49,$6.62B,1985,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acad
ACAM,Acamar Partners Acquisition Corp.,10.23,$390.75M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/acam
ACAMU,Acamar Partners Acquisition Corp.,11,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/acamu
ACAMW,Acamar Partners Acquisition Corp.,0.95,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/acamw
ACST,"Acasti Pharma, Inc.",0.64,$59.19M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acst
AXDX,"Accelerate Diagnostics, Inc.",14.98,$827.95M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/axdx
ACCP,"Accelerated Pharma, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/accp
XLRN,Acceleron Pharma Inc.,100.81,$5.99B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/xlrn
ACCD,"Accolade, Inc.",33.69,$1.64B,2020,n/a,n/a,https://old.nasdaq.com/symbol/accd
ARAY,Accuray Incorporated,2.27,$205.36M,2007,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/aray
ACEVU,ACE Convergence Acquisition Corp.,10.1,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/acevu
ACLL,"ACell, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/acll
